Compound,A1,A10,A11,A20,A28,A29,A30,A6,A7,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9
(+)-12-methyl myristic acid,0.01121964,0.002989544,0.004866849,0.002065217,0.002515131,0.001919701,0.001931436,0.002054593,0.002943418,0.018771233,0.010204925,0.005021861,0.009264854,0.019606571,0.008614456,0.025759199,0.015254786,0.004834299,0.003240071,0.07575954
(+)-24-Dammarene-3beta-20S-diol,0.010089445,0.005235526,0.008212627,0.00321287,0.008770507,0.006588162,0.00257288,0.012727063,0.009673252,0.007123886,0.004052148,0.008494496,0.003181808,0.003029462,0.002254413,0.001746733,0.005177069,0.006971356,0.005240111,0.001577146
(+)-Catechin hydrate,0.006078058,0.019819223,0.015822901,0.006204563,0.006643351,0.01405076,0.003061481,0.006508205,0.016313365,0.014171938,0.002091321,0.008129471,0.006167755,0.007338683,0.005799285,0.001512885,0.003687369,0.019538,0.004849024,0.002597611
(+)-Isostearic acid,0.794324511,0.42409211,0.631255428,0.392024752,0.670155503,0.378983201,0.250343669,0.766844502,0.863417203,0.72161855,0.917052672,0.654754543,0.281424656,0.83248465,0.460267629,0.45529885,0.689423818,0.818055281,0.745032828,1.334630199
"(10E,15Z)-9,12,13-trihydroxyoctadeca-10,15-dienoic acid",0.001300061,0.000958249,0.001650254,0.000483641,0.001215505,0.000851679,0.000492652,0.001082236,0.00122943,0.004814265,0.002387008,0.009100492,0.001118008,0.014289865,0.001142923,0.001884155,0.002836446,0.009094482,0.001523476,0.010737027
"(16-Benzyl-5,12-dihydroxy-5,7,14-trimethyl-13-methylidene-6,18-dioxo-17-azatricyclo[9.7.0.01,15]octadeca-3,9-dien-2-yl) acetate",0.00257486,0.002903897,0.002804804,0.001628022,0.002917078,0.001992267,0.000816244,0.004081936,0.005205751,0.002108867,0.023370236,0.021863152,0.001228706,0.029534909,0.005531084,0.008990299,0.004616412,0.041363311,0.001322277,0.028286545
"(1R,7S,13S,15S)-2,15-Dihydroxy-7-methyl-6-oxabicyclo[11.3.0]hexadeca-3,11-dien-5-one",0.002937039,0.027993932,0.002348712,0.045771935,0.008263735,0.004668149,0.068312482,0.012128905,0.00808375,0.014345982,0.003703503,0.004391117,0.000811343,0.010180613,0.007634695,0.003993706,0.002094371,0.004343768,0.00358374,0.008060252
(2-aminoethoxy)[2-(hexadecanoyloxy)-3-[octadec-1-en-1-yloxy]propoxy]phosphinic acid,0.001394561,0.005693074,0.002319034,0.020721946,0.004926731,0.034840473,0.000555889,0.001188684,0.000482926,0.001228202,0.003541051,0.000930834,0.044084404,0.000835178,0.00119438,0.006650971,0.002715616,0.001057772,0.010800847,0.001326882
(2-aminoethoxy)[2-(hexadecanoyloxy)-3-[octadec-11-enoyloxy]propoxy]phosphinic acid,0.011950545,0.066269712,0.022635531,0.292858127,0.077797023,0.238155447,0.01168674,0.011033644,0.008765203,0.004208593,0.092675842,0.010875703,0.422851212,0.014026884,0.021431755,0.094725935,0.075878235,0.014493478,0.389384855,0.038507782
(2-aminoethoxy)[2-[hexadec-9-enoyloxy]-3-[octadeca-1.11-dien-1-yloxy]propoxy]phosphinic acid,0.027993653,0.193536283,0.035950174,1.327378696,0.179095438,1.051679596,0.037028052,0.073649556,0.007687495,0.006136536,0.183769499,0.03003107,1.169635111,0.031644562,0.049523005,0.239121215,0.135963611,0.021013508,0.471937295,0.05100471
(2-aminoethoxy)[2-[icosa-5.8.11-trienoyloxy]-3-[octadec-1-en-1-yloxy]propoxy]phosphinic acid,0.016022703,0.108164932,0.016395277,0.28632469,0.050309564,0.451444806,0.000470063,0.025682758,0.002493472,0.004321078,0.061952429,0.014704231,0.270574106,0.004780558,0.012938582,0.254409984,0.037786063,0.012451582,0.097949411,0.009443095
(2-aminoethoxy)[3-[hexadec-1-en-1-yloxy]-2-(hexadecanoyloxy)propoxy]phosphinic acid,0.001467702,0.005504963,0.000804895,0.022528625,0.005206581,0.010159593,0.000704644,0.001364262,0.000294165,0.002389767,0.013173982,0.002717705,0.050053792,0.002416125,0.001467713,0.014244382,0.007867547,0.001971263,0.021084948,0.002244981
(2-aminoethoxy)[3-[hexadec-1-en-1-yloxy]-2-[hexadec-9-enoyloxy]propoxy]phosphinic acid,0.007048942,0.02574439,0.007518515,0.110970038,0.027860435,0.076533961,0.008436599,0.002810482,0.001298013,0.003609887,0.053125721,0.002815018,0.215436695,0.010628366,0.017015674,0.073393992,0.04339301,0.004602152,0.190184889,0.026185895
"(2R,3S,4R,5R,8R,10R,11R,13S,14R)-11-[(2S,3R,4S,6R)-4-(Dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-2-ethyl-3,4,10-trihydroxy-13-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy-3,5,6,8,10,12,14-heptamethyl-1-oxa-6-azacyclopentadecan-15-one",0.004415273,0.00051402,0.000835244,0.000919712,0.0,0.000530478,0.000957286,0.000225605,0.0,0.001076763,0.003254579,0.001363766,0.001597951,0.001956887,0.003422084,0.002137014,0.001839183,0.000570023,0.002560941,0.001691276
"(2R,3S,4S,5R,6S)-2-(Hydroxymethyl)-6-[4-(3-hydroxyprop-1-enyl)-2,6-dimethoxyphenoxy]oxane-3,4,5-triol",0.026735292,0.028848729,0.014246881,0.024525502,0.036099587,0.026591122,0.011172196,0.039683259,0.038338472,0.034841298,0.015103613,0.025856649,0.029234021,0.007721358,0.008820639,0.011808979,0.020699249,0.040645873,0.015232804,0.003242736
(2S)-1-[2-[[(2S)-Pyrrolidine-2-carbonyl]amino]acetyl]pyrrolidine-2-carboxylic Acid,4.08417e-05,0.001107898,0.002733313,8.0796e-05,0.000142687,7.38496e-05,6.72075e-05,0.000408785,0.000374457,0.000827707,0.005726145,0.004071388,0.000312626,0.00248234,0.006196863,0.003054593,0.018592184,0.0005827,0.000858026,0.003234013
"(3S,5S)-3,5-Diaminohexanoate",0.004998272,0.009872564,0.00873378,0.002358604,0.006885819,0.006272214,0.004674816,0.00771246,0.009674711,0.014561427,0.052862023,0.027025103,0.002787025,0.043361222,0.099216837,0.030682031,0.044385272,0.02918819,0.004590299,0.020408149
"(3b,5a,6b,22a,25R)-Furostane-22-methoxy-3,6,26-triol 3-[glucosyl-(1->2)-[xylosyl-(1->3)]-glucosyl-(1->4)-galactoside] 26-glucoside",0.040982666,0.051198409,0.003996181,0.051091519,0.056687418,0.034148888,0.017584936,0.074796829,0.162735898,0.048591477,0.00146567,0.023809841,0.023925749,0.008356156,0.00105191,0.003296728,0.001238131,0.049777537,0.019221488,0.002558671
(6-Phe)BN (6-13) methyl ester,0.000218764,0.001759184,0.001063477,9.50004e-05,0.000331463,0.000144804,0.000188606,0.000120183,0.000628839,0.000689615,0.008786671,0.001590103,6.82408e-05,0.002160416,0.003028601,0.003138451,0.006664483,0.000899952,0.000301099,0.003015542
"(6E,10E)-3-Hydroxydodeca-6,10-dienoic acid",0.001142901,0.001431226,0.003996777,0.0,0.001108019,0.001183471,0.000952049,0.00213619,0.003672768,0.013691892,0.00125927,0.064323875,0.00211814,0.031896988,0.00059275,0.001568424,0.003452525,0.039438865,0.001462052,0.025019515
(7'R)-(+)-Lyoniresinol 9'-glucoside,0.000142493,6.44025e-05,0.000232634,0.0002741,0.000184602,0.000219694,8.3455e-06,2.15632e-05,0.00047403,0.000175214,0.004485038,0.001151831,0.000139642,0.00591349,0.000872797,0.000329761,0.003460936,0.000516539,0.00015591,0.000966662
"(9E,11E)-Octadecadienoic acid",0.121448674,0.034666907,0.102079921,0.012165017,0.016173511,0.021301748,0.033704177,0.009395912,0.12349841,0.686601256,1.109214105,0.681714823,0.126049499,1.596438639,0.355866941,0.568968523,0.267716971,0.396703825,0.092171719,2.122669784
"(9E,12E)-N-(2-Hydroxyethyl)octadeca-9,12-dienamide",0.001338827,0.001823231,0.060840508,0.00018012,8.34786e-05,0.0,0.011448427,0.0,0.003664986,0.01263285,0.029241788,0.008305226,0.00070565,0.110132794,0.090951339,0.034408895,0.059619107,0.002383848,0.001864959,0.041539954
(E)-2-Tetracosenoic acid,0.018116274,0.003181252,0.030824654,0.001245412,0.000960232,0.001267833,0.019920843,0.000923067,0.00327456,0.065548386,0.103954128,0.038651904,0.006898122,0.072748806,0.062637746,0.05812059,0.146896744,0.006649919,0.03908759,0.204413909
(E)-4-stilbenol,0.0,0.004126905,0.007390968,0.0,0.0,0.0,0.0,0.0,0.0,0.00383082,0.002994633,0.009747271,0.000116606,0.006810956,0.00292619,0.009391084,0.012249653,0.001238179,0.000359617,0.005403188
(S)-[8]-Gingerol,0.063279555,0.081015413,0.017105654,0.001302612,0.101313237,0.012328197,0.144893683,0.021573536,0.005467258,0.024604221,0.004553173,0.03625663,0.008075907,0.050039237,0.077760516,0.028753181,0.027174402,0.029702636,0.009550926,0.080728485
"(S,E)-N-(4-(4-Acetylpiperazin-1-yl)benzyl)-3-(4-(tert-butyl)phenyl)-N-(1-(4-(4-cyanobenzyl)piperazin-1-yl)-1-oxo-3-phenylpropan-2-yl)acrylamide",0.006478015,0.001530729,0.002914851,0.36486385,0.00618213,0.0,0.002149609,0.008282598,0.004957757,0.005590445,0.003052805,0.00567402,0.101579479,0.003827409,0.002703667,0.023605117,0.005528365,0.006495552,0.006037998,0.001222633
"(S,S)-(+)-Tetrandrine",0.002682902,0.012638359,0.002171219,0.000242917,0.00025843,0.000934032,0.033004045,0.00024515,0.002013762,0.004880046,0.004299936,0.001425071,0.00032343,0.003954816,0.005989309,0.001397184,0.00131665,0.000573072,0.062214925,0.005044801
(Z)-13-Oxo-9-octadecenoic acid,0.017565086,0.005407041,0.027858984,0.003966603,0.005780595,0.005476152,0.006883863,0.005710229,0.014698539,0.045488181,0.021541632,0.06009757,0.009454913,0.185511648,0.032656162,0.034596698,0.110901056,0.059177536,0.004160054,0.252489589
"(Z)-4',6-Dihydroxyaurone",0.057416289,0.002641191,0.120915009,0.002470767,0.004070663,0.00308187,0.001304929,0.004212129,0.07428142,0.728085839,0.004092761,0.011440523,0.097819995,0.014609573,0.002015341,0.016905236,0.003710644,0.605958276,0.003604977,0.043647769
"(Z,Z,Z)-1,8,11,14-Heptadecatetraene",0.005305298,0.001939183,0.012798706,0.001442652,0.002124149,0.001160386,0.008954545,0.00209221,0.002244728,0.004025419,0.024597193,0.013332939,0.001619037,0.019385003,0.016317892,0.010938269,0.011973329,0.003398395,0.003989838,0.013159431
(±)14(15)-EET,0.005622051,0.003294897,0.002253632,0.003663603,0.002294401,0.004131767,0.001889686,0.0,0.018163157,0.008818337,0.0039974,0.008509245,0.001673322,0.006660255,0.003636837,0.003684682,0.002572125,0.008612044,0.004497297,0.002451797
(±)8(9)-EET,0.002206616,0.003412492,0.006344595,0.000380249,0.000599693,0.00092464,0.00094522,9.42528e-05,0.001786413,0.003194566,0.005309801,0.00751463,0.0,0.008771625,0.008709459,0.00443394,0.00240025,0.002330865,0.001293596,0.001967941
"1,2-Dimethyl-4-(6-methyl-4-heptenyl)-1,3-cyclohexadiene",0.007037568,0.002792143,0.010053215,0.003068616,0.00449848,0.003272229,0.008427155,0.004122393,0.005391008,0.004965353,0.016958369,0.013424582,0.002573787,0.01519667,0.010508247,0.00887889,0.01011576,0.005129699,0.005521302,0.007477312
"1,2-Dipalmitoylphosphatidylcholine",0.020712302,0.032077671,0.007288756,0.14191844,0.017983257,0.146139372,0.005664445,0.013747349,0.019172154,0.016790332,0.018455405,0.01169968,0.098145638,0.007644783,0.009131642,0.00906981,0.01171498,0.012538716,0.06262032,0.006445632
"1,3-Benzodioxole",0.003569765,0.003436671,0.001961892,0.003344692,0.003600668,0.003420733,0.001453839,0.004601502,0.007988916,0.004739644,0.001741556,0.00184097,0.002865281,0.003728005,0.001997573,0.002179558,0.004763034,0.005195406,0.002762533,0.003513769
"1,4,7,10-Tetratert-butylperylene",0.001151662,0.000387762,0.003189617,0.000527825,0.000665839,0.000356411,0.000560846,0.001298292,0.000994598,0.001207328,0.002855032,0.00231027,0.000495515,0.013995679,0.002984189,0.000579731,0.001327168,0.001677883,0.001321549,0.033892167
"1,4-Bis-(1,1-dimethylethyl)-benzene",0.007713087,0.005678574,0.007101874,0.005709059,0.008935684,0.00710327,0.002550009,0.008678704,0.010888071,0.007538574,0.006664575,0.007728937,0.007488846,0.003676325,0.002475384,0.003338394,0.006118422,0.010108017,0.006046357,0.002314414
"1,5-Dibutyl methyl hydroxycitrate",0.007586443,0.001428478,0.001755457,0.001283407,0.002970312,0.001049852,0.00149821,0.000602589,0.00665505,0.033161544,0.021356234,0.017031743,0.003144725,0.023075678,0.001192562,0.021182227,0.009340981,0.013741412,0.003954043,0.044874967
1-(11Z-eicosenoyl)-glycero-3-phosphate,0.023646661,0.013645888,0.156727225,0.002292199,0.002660919,0.002464757,0.039042107,0.002878345,0.007220826,0.011898334,0.041115495,0.014049605,0.00329006,0.019077476,0.095628897,0.088237675,0.01330164,0.002520951,0.037158012,0.046024601
1-Ethylaziridine,0.010640316,0.0130324,0.019643441,0.001941194,0.007107754,0.003775233,0.004229695,0.004457049,0.019087046,0.036989409,0.003226341,0.070725269,0.009678837,0.052429853,0.019433344,0.08635767,0.089988452,0.022886177,0.021802786,0.043148142
1-Hexadecylamine,0.006296144,0.003309156,0.00359093,0.003337034,0.009265603,0.002715589,0.001732601,0.002854377,0.005142806,0.009113679,0.002045026,0.004410275,0.002007843,0.002096057,0.00336837,0.004903239,0.004607291,0.006690716,0.002699076,0.00104301
1-Naphthylamine,0.001160591,0.000670895,0.001438182,0.00072798,0.00123079,0.000723145,0.000452624,0.001144824,0.00204503,0.003241798,0.006994897,0.002024863,0.000763651,0.009111448,0.003612203,0.000612581,0.004924058,0.001735822,0.000660871,0.005614728
"1-O,4-O-Bis[(2S)-2-ethylhexyl] 2-O-[(2R)-2-ethylhexyl] benzene-1,2,4-tricarboxylate",0.006989819,0.004959006,0.006198377,0.007707891,0.007923947,0.005937255,0.002660401,0.006870293,0.009758568,0.006223294,0.004627379,0.008043312,0.004311984,0.003866073,0.003410924,0.004181202,0.005846092,0.011653312,0.007141902,0.003601681
1-O-Hexadecyl-sn-glycero-3-phosphocholine,0.002565278,0.000219071,0.000234948,0.000589666,0.000368178,0.000442674,0.000356443,0.000418067,0.001862399,0.003861613,0.016961794,0.001626836,0.000207849,0.010191981,0.003522095,0.000937064,0.001086062,0.000776992,0.001616878,0.016313239
1-Oleoyl-Sn-Glycero-3-Phosphocholine,0.001425057,0.000294463,0.000487696,0.000448417,0.000662426,0.000439366,0.0,0.000565404,0.005288184,0.017252093,0.005268846,0.005122558,0.0011461,0.009149915,0.000831852,0.000294764,0.001012358,0.012623595,0.004711767,0.0112514
1-Oleoylglycerophosphoserine,0.033611521,0.007875178,0.044725618,0.015937758,0.007541174,0.036138175,0.013348728,0.023558537,0.062157549,0.44422701,0.156095264,0.098222236,0.033641621,0.23930049,0.063163273,0.121913908,0.113538896,0.124861768,0.16959761,1.206103465
"1-Phenyl-1,3-heneicosanedione",0.01677848,0.001905491,0.006699965,0.002137467,0.003750794,0.002883219,0.005604857,0.002449753,0.004650431,0.023528266,0.085677583,0.020202522,0.002566907,0.180180093,0.016158873,0.010211139,0.015691193,0.005507424,0.00594354,0.067107501
1-Pyrrolidinecarboxaldehyde,0.005003152,0.050262769,0.189894396,0.014878843,0.005564806,0.0033054,0.002224534,0.024944086,0.099288532,0.193366657,0.314220408,0.533857118,0.010607697,0.218302564,0.052044943,0.497570445,0.568562495,0.114343653,0.133148977,0.361267012
1-Pyrroline,0.006880823,0.016275861,0.04399921,0.003507328,0.005193964,0.006184414,0.003850865,0.010149843,0.020769472,0.032660732,0.065625204,0.064637489,0.01595256,0.144863765,0.365112934,0.135775769,0.118339858,0.058534727,0.035288928,0.106601291
1-Stearoylglycerophosphoglycerol,0.014177921,0.003481691,0.012752613,0.001625751,0.002425009,0.000997452,0.007916923,0.001802213,0.004809878,0.02411734,0.034195691,0.009583536,0.008058103,0.039130432,0.047625148,0.019262597,0.014140809,0.002514151,0.010695922,0.051605562
1-Stearoylglycerophosphoserine,0.199874817,0.072483024,0.020952679,0.020539632,0.030166108,0.007843062,0.074878194,0.036303771,0.077509959,0.266805346,0.286750095,0.070103028,0.060302362,0.286405168,0.274913558,0.097259575,0.108141463,0.030398514,0.050481318,0.284510883
1-hexadecyl-glycero-3-phosphate,0.016753766,0.005894628,0.005169441,0.005271294,0.004852657,0.003366727,0.0042409,0.00292406,0.016748179,0.025935015,0.034596686,0.009150775,0.008078618,0.032500094,0.118015436,0.038692143,0.013352741,0.002978486,0.009692751,0.056731719
"10,12-Hexacosanedione",0.004165185,0.001220796,0.013601182,0.000900011,0.000548697,0.00076591,0.005804451,0.001035354,0.001464306,0.010191297,0.022413827,0.007389054,0.00277653,0.012795615,0.018360676,0.020949861,0.01618093,0.002236055,0.006168026,0.027892226
"10-hydroperoxy-8E,12Z-octadecadienoic acid",0.000598921,0.000443154,0.000833379,0.00029848,0.000864528,0.000365415,0.000199912,0.000520592,0.00088764,0.002975058,0.000815632,0.010463833,0.000512971,0.007628392,0.000283955,0.000484137,0.001546639,0.006994574,0.000579689,0.005523359
"10H-Pyrido(3,2-b)(1,4)benzothiazine, 10-(2-(dibutylamino)ethyl)-",0.030094987,0.008756045,0.017787141,0.044803652,0.009238236,0.007589273,0.004121944,0.008755209,0.01740205,0.045899808,0.032525087,0.009375108,0.012615398,0.019804939,0.025072067,0.00069008,0.016269344,0.015711597,0.00659792,0.01934666
"11,14-Eicosadienoic acid",0.037452032,0.002821514,0.018876306,0.002339152,0.001781071,0.001490505,0.008408526,0.000682149,0.013306766,0.074874897,0.196955935,0.048750528,0.010776591,0.135882717,0.047139043,0.037587387,0.082826186,0.026312964,0.018441899,0.314588488
11-Cyclohexylundecanoic acid,0.004270442,0.001065032,0.002283225,0.00059453,0.001528216,0.000984425,0.000641885,0.001348435,0.001547799,0.007029555,0.001576877,0.001732082,0.002778987,0.002414106,0.001461533,0.005528697,0.003415327,0.001787048,0.001030544,0.010077022
11-dehydro TXB2,0.000252002,0.001820444,0.005267012,6.61254e-05,0.000294946,4.00909e-05,0.000913373,5.16397e-05,0.000717716,0.00263843,0.009228652,0.005787498,0.001216077,0.002481818,0.003696245,0.051299861,0.006115234,0.001065712,0.002449237,0.001510387
11b-PGF2a,0.01938056,0.01423134,0.015192446,0.00273406,0.004056239,0.001856364,0.01423925,0.004537082,0.010170907,0.070621685,0.042926509,0.057841388,0.002518821,0.066489334,0.00792333,0.010746262,0.050841605,0.011581601,0.005339062,0.033452359
12(S)-Hydroperoxyeicosatetraenoic Acid [12(S)-Hpete],0.00821377,0.0046617,0.007764327,0.002170032,0.002562609,0.001431852,0.001032209,0.001507836,0.006587589,0.014723148,0.029703337,0.015029602,0.001523741,0.061193624,0.014898332,0.019700987,0.005473,0.009774937,0.003978492,0.008308099
12-Hydroxydodecanoic Acid,0.002065147,0.000318541,0.001970222,0.001083388,0.001511601,0.000885572,0.000509596,0.000463781,0.002035554,0.002882733,7.54947e-05,0.004095427,0.001343325,0.000642408,0.0027897,0.002644203,0.004996725,0.001093511,0.00201418,0.004551023
"12-nitro-9Z,12Z-octadecadienoic acid",0.000113054,2.35457e-05,0.00026556,0.000116776,0.000257249,0.001144279,6.41613e-05,0.000299797,0.000127556,5.03823e-05,5.69148e-05,0.000174257,5.8395e-05,0.549145473,0.000116938,4.31542e-05,0.000769882,0.000341083,2.63846e-05,0.000109196
12R-hydroxy-9Z-octadecenoic acid,0.006778545,0.004633516,0.027170259,0.001499714,0.004328568,0.003979036,0.004645942,0.003197812,0.001868694,0.007131749,0.024216279,0.024469847,0.001905061,0.205973634,0.037278873,0.039458612,0.132891188,0.00961397,0.00480856,0.161141215
13'-Carboxy-gamma-tocopherol,0.012971333,0.00361883,0.002774594,0.000874447,0.003408797,0.00106583,0.002694837,0.001588339,0.001929339,0.013317681,0.040456718,0.053468642,0.001467967,0.033861751,0.012737093,0.004496285,0.015953211,0.006043761,0.007824195,0.027642454
"13,16,19-docosatrienoic acid",0.016440055,0.001088328,0.006079005,0.000690552,6.40208e-05,0.000258069,0.001761065,0.000118456,0.001217598,0.012900961,0.031509369,0.011441284,0.00889761,0.00996097,0.006394856,0.009356619,0.029257251,0.002932617,0.002984409,0.078246929
13-Cis-Acitretin,0.373845433,0.184157628,0.260521188,0.243758545,0.441316273,0.279856096,0.100297543,0.319775322,0.391179905,0.272222459,0.19166019,0.293521426,0.183451035,0.125457417,0.004731806,0.124256232,0.235462192,0.383058237,0.28977822,0.084337598
13-OxoODE,0.012690574,0.006783097,0.066611961,0.004463363,0.007405787,0.00457074,0.019578781,0.005309683,0.015076418,0.124088564,0.005706515,0.171257748,0.019144785,0.223507674,0.034238265,0.052561138,0.050801469,0.221698338,0.004370206,0.147443749
13-methylheptadecanoic acid,0.136804381,0.124593154,0.119355106,0.113930257,0.174461895,0.12499546,0.047537734,0.164662577,0.193059992,0.133834881,0.098530427,0.13182614,0.076902721,0.062529297,0.043067759,0.050214314,0.095459244,0.148602569,0.122329328,0.045679936
15-Oxoete,0.008440759,0.022117161,0.026753618,0.002020969,0.00233433,0.00259626,0.007208857,0.003313157,0.008686626,0.013836568,0.051845371,0.068027404,0.001557056,0.070822208,0.053863766,0.022714068,0.010372784,0.026938559,0.004997727,0.012907493
16:0 Cholesteryl ester,0.004684308,0.037864698,0.001728125,0.031520849,0.004910789,0.04616153,0.01375482,0.03173026,0.095782784,0.031805023,0.021081329,0.090977365,0.016800755,0.032067282,0.000254493,0.026981071,0.000593716,0.02895717,0.032539021,0.031707538
17(R)-Resolvin D1,0.001526921,0.006932009,0.022254444,0.000971273,0.002153026,0.000322266,0.00335518,0.001453033,0.00858672,0.011216537,0.02914045,0.022387557,0.00273699,0.012376724,0.027894237,0.030976742,0.042990113,0.008305632,0.004907185,0.008953632
2'-Deoxyguanosine 5'-Monophosphate,0.015451743,0.00904547,0.015546793,0.005975234,0.01672493,0.049410868,0.005431815,0.032855482,0.032056889,0.010593556,0.013151753,0.006490465,0.005605314,0.012504792,0.027239686,0.016511409,0.013133836,0.229838923,0.004595194,0.005738331
2'-Deoxyinosine-5'-monophosphate sodium salt,0.001568105,0.000619759,0.00280623,0.001034875,0.001727331,0.001089398,0.000333716,0.000961587,0.001738934,0.006149465,0.000898788,0.038405212,0.000831426,0.060764525,0.00062264,0.002300417,0.007654614,0.010431246,0.001058437,0.070436932
2'-deoxyadenosine CollisionEnergy:102040,0.130332133,0.109378706,0.372637548,0.059957562,0.052454796,0.032629204,0.027284133,0.025022943,0.2004675,0.649982311,0.139239479,0.244674846,0.022383779,0.203895998,0.214527987,0.137448544,0.056968592,0.070346419,0.080184333,0.104795068
2(3H)-Benzothiazolone,0.001065895,0.001316392,0.001459386,0.001191889,0.002193321,0.001050462,0.000663365,0.00179763,0.001327613,0.00166737,0.000998058,0.001514998,0.000785003,0.000861881,0.000373107,0.000709653,0.031164769,0.002061018,0.001957881,0.000461192
"2,2,6,6-tetramethylpiperidin-1-ol",0.155993628,0.079954241,0.087492361,0.087337275,0.195033927,0.114676437,0.054360868,0.132443065,0.149196111,0.107606608,0.067938706,0.119108908,0.068284904,0.045759841,0.042513095,0.041635524,0.083304938,0.149924672,0.109064759,0.03027589
"2,2,6,7-Tetramethylbicyclo[4.3.0]nona-1(9),4-diene-7,8-diol",0.006013357,0.004179787,0.004108889,0.010313712,0.02083254,0.004101507,0.008018131,0.024543981,0.00722166,0.004224847,0.001694965,0.007362075,0.007034308,0.001572194,0.002610874,0.002078346,0.006706156,0.008356115,0.004014513,0.00233845
"2,3-Dinor-TXB2",0.034567767,0.002942984,0.016667041,0.010179894,0.033075511,0.012995089,0.007487789,0.014007058,0.022617736,0.017488831,0.005030926,0.012821053,0.04228528,0.008556797,0.030229636,0.003794565,0.019265106,0.028617722,0.018073555,0.009407854
"2,3-Epoxymenaquinone",0.002894895,0.005261411,0.003427765,0.001789382,0.003354056,0.00838418,0.001366438,0.003154738,0.007022751,0.00443599,0.005988815,0.002691435,0.004536066,0.001794365,0.002032623,0.000637508,0.002025238,0.011020056,0.00330137,0.001019808
"2,4,8-Eicosatrienoic acid isobutylamide",0.006030752,0.002545661,0.00257415,0.002545426,0.004924454,0.001254048,0.002290186,0.006218887,0.002920942,0.002827585,0.001844918,0.003177445,0.00119563,0.000414946,0.001318149,0.000863693,0.003109352,0.001324322,0.001883658,0.001166555
"2,5-Dihydroxybenzenesulfonic Acid",0.000257232,0.000176844,0.000122862,8.54141e-05,0.0,0.000180708,0.0,0.0,0.000310122,0.0,4.95737e-05,0.00021564,0.0,0.087986078,2.36152e-05,7.43427e-05,0.000272309,0.0,0.000217883,7.35917e-05
"2,6-Di-tert-butyl-1,4-benzenediol",0.000352598,0.003479503,0.008256186,0.007716475,0.010610151,0.008081652,0.003577336,0.010232434,0.01251106,0.0,0.000377463,0.005027162,0.002659257,0.004547029,0.003592359,0.000199306,0.006539466,0.003578899,0.007264073,9.25256e-05
2-(4-Isopropylphenyl)-4-methylpyridine,0.007958834,0.005183904,0.005158051,0.004692465,0.01004597,0.007114127,0.002930349,0.006365105,0.008302599,0.006578586,0.003562283,0.00652949,0.003345327,0.002587904,0.002380324,0.002334751,0.003709472,0.009607037,0.00482834,0.001590501
2-Amino-3-hydroxy-3-phenylpropanoic acid,0.011286527,0.015556256,0.027214968,0.008728334,0.010601619,0.012299116,0.003837789,0.013927025,0.051229356,0.036400994,0.06572483,0.156563044,0.000410625,0.224182818,0.072321662,0.02704627,0.115499225,0.064449694,0.015857589,0.05103237
2-Amino-3-methyl-1-butanol,0.037708995,0.023863467,0.023800722,0.005313553,0.01094166,0.007220405,0.013083502,0.017172939,0.032872257,0.051999535,0.077836705,0.081630103,0.007176012,0.123964442,0.027284154,0.03294357,0.053024122,0.046876938,0.014358909,0.055255831
2-Chloroacetanilide,0.111109934,0.08093086,0.034153953,0.120795306,0.166879472,0.000461703,0.023914536,0.179854985,0.115701143,0.025982511,0.000819273,0.020919713,0.035568688,0.007451335,0.002501474,0.000767415,0.00538929,0.044820481,0.037117096,0.005266797
"2-Deoxy-2,3-dehydro-n-acetyl-neuraminic acid",0.032115366,0.000926397,0.083944841,0.006046826,0.013518108,0.018580638,0.003314371,0.012944434,0.036673138,0.471122593,0.037739108,0.067314097,0.152179762,0.021335614,0.090273744,0.092836599,0.009522035,0.010526705,0.148468633,0.090386111
2-Ethylsuberic acid,0.006048242,0.005470548,0.006482745,0.006239947,0.006221933,0.00632578,0.002955061,0.005119539,0.013193972,0.014893155,0.008963507,0.018802099,0.005857728,0.016446848,0.003667603,0.007480246,0.015715217,0.016833859,0.009122839,0.012656888
2-Hydroxy-2-methylbutyric acid,0.003798085,0.001904657,0.003596273,0.000515164,0.000879683,0.000729298,0.000403115,0.001917602,0.001115729,0.005301673,0.002821906,0.011912413,0.000400565,0.017017125,0.000496912,0.001580805,0.006960972,0.002056172,0.001881195,0.005503489
2-Hydroxy-6-tridecylbenzoic acid,0.003513619,0.004110792,0.027959898,0.001390049,0.002663045,0.001906112,0.003006865,0.002629247,0.003389046,0.009923423,0.02284035,0.026688394,0.001972489,0.160690222,0.033793962,0.034447311,0.102397785,0.009122178,0.002070332,0.115313316
2-Hydroxycaproic acid,0.007903449,0.025872702,0.05931041,0.000849324,0.005156691,0.001320709,0.00499964,0.012960634,0.011139364,0.038660719,0.192704706,0.124633758,0.002477379,0.227729068,0.046060376,0.018346961,0.237033066,0.027737592,0.020355263,0.072348212
