Gene,A1,A10,A11,A20,A28,A29,A30,A6,A7,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9
UniRef90_Q5F9J0,21.46311327424951,33.168001330520084,1.3350085882998761,28.352800592411814,63.79004445374784,18.045410315156516,29.863312136636658,29.682665635421777,43.53456098902168,46.85139028587421,10.397800366090538,2.8277225353949453,53.9396996131997,5.024565082127117,22.882920729520805,16.944276804035585,5.095305732353343,4.818766684830274,18.582144672759725,0.9480167784410997
UniRef90_E8JY89,52.75243603144528,14.573579650826096,50.76845683266201,49.100713291095126,23.501153215710566,16.173092895411415,21.385636489889123,48.40556180108975,65.44461784730262,29.939422169212584,16.405942962518928,36.20100808529185,33.232494556467515,2.601176755042764,16.62112669503555,43.37973274184656,20.051089660568184,15.337087623949568,44.626870087195876,25.165256509918308
UniRef90_N0CC78,2.950380120160912,3.810132094941643,15.303293655041264,6.91332764618239,5.842504004105372,3.974762300435354,6.140329484720467,11.750839407654379,13.53455387896508,8.927686037680342,10.702218258533774,10.0168343114516,14.541617371543516,5.7515908046622455,8.619368929742945,39.31786457331374,6.080308441385221,7.104777429929513,15.824549092777435,13.933863409227854
UniRef90_Q8DZZ2,37.15958974098073,37.43041634864546,52.933036588834625,18.80526647232692,22.535165702989296,18.59623327654201,35.79595960677851,49.227397892101976,151.85519481538907,74.92377819757432,59.11650796426132,109.86887005566699,60.46448612674545,26.336103182325925,15.663107011275809,76.8141593434204,41.466214450149856,222.43017735334612,19.836187502350292,64.67707300900295
UniRef90_G6C8V8,45.80109320376679,16.146891576386697,39.30665812409206,29.784460336781983,42.901728905470165,53.1530629564383,20.874927209237082,57.10296700647058,55.650924069354524,44.66853036241506,24.6093309328368,34.831193313139984,39.674520483586974,2.034803612525089,21.58778532258959,38.989245640449354,18.796435673070658,12.455650676180143,53.244519890948496,23.184244138132673
UniRef90_A8AW61,31.62827528010148,27.45099454255628,54.42156241439981,35.077270558901674,14.144975187498707,9.993600383343894,23.913493581316242,43.110636271253945,62.72698433319429,24.245979983545528,18.175089890307166,49.87717921648361,34.539003569535836,40.96657471314786,21.286622844140528,60.79331131864236,25.706852421798075,14.38619887625662,20.506779858689452,46.14656312126015
UniRef90_A8AVW8,58.455103798306354,19.198079809611453,45.64523164449251,55.626928730795086,52.715655186852246,38.074188093536335,33.74801309812258,45.477261599677746,62.28205898575526,48.18484014095919,24.23296588929387,54.698634140185064,33.390391085617004,8.899606295767727,17.04444564586971,52.48732282006404,24.043207132665618,25.668627089725533,48.772498440902545,33.289963756924394
UniRef90_D7N0I4,15.736147582361337,34.263619719937275,1.0121384301965606,29.98974723119038,69.44261493342144,23.404230008813258,20.362294704806384,27.294088899541705,46.57878328446022,41.907762405197026,12.12487778382306,2.5384022607311914,45.55969485688307,6.045546369159845,26.211063033789472,14.24735094471553,2.666512926203543,6.263046304228634,8.334576213929912,2.5328663878065774
UniRef90_Q8DRP0,64.46113916264547,18.312610051661743,63.28196361945267,50.21357849620047,27.191444638453532,30.670521123755687,34.14447583543138,50.39499220327753,74.88412770232382,40.092969065118815,27.213178980118425,54.60568411843436,40.89405147232913,37.51951663411071,25.13122148077901,60.57580793050025,26.888263791179572,19.59700686768616,61.0313737461652,50.82018777069881
UniRef90_A0A154TN48,14.940846092602339,38.02642486299355,1.5959122660046814,35.10302108844947,63.69496173244311,27.29992941632572,30.492916055683487,30.887912282336753,54.92600777558413,38.05426997327597,10.015685333936355,3.231167508274831,49.443088708369096,1.4636307131753628,25.731076594800808,14.176656630027072,4.8475288361008175,10.957636855119969,15.154760905136929,1.6501150973866539
